,Age,Income,Outage_sec_perweek,Contacts,Bandwidth_GB_Year
69,63,19048.13,11.27443693,2,1120.241472
70,60,42784.82,6.129509309,0,2676.789803
71,87,77996.88,7.969277912,0,1268.086909
72,54,47507.3,4.368120492,0,822.6771666
73,35,7724.73,6.258356398,0,1577.915603
74,70,1509.52,12.92303286,0,648.7471776
75,67,81124.71,12.43301273,0,1648.102673
76,46,11795.57,7.607663559,0,768.0874545
77,50,74794.84,7.442789019,2,2426.030626
78,24,19038.78,13.04429298,1,2660.503932
79,20,79167.77,14.89762162,0,1129.549713
80,29,37428.26,13.79387475,2,1771.286466
81,31,45148.38,15.66367593,1,943.3391244
82,72,74855.47,8.513410306,3,1907.226083
83,71,45323.86,8.265002035,1,1885.939118
84,32,71596.14,8.6026551,0,631.7435653
85,33,10389.95,6.03993035,1,562.6095219
86,67,19657.14,14.6040829,3,593.8572264
87,66,27827.03,7.274007029,1,777.3060718
88,21,15609.05,8.913898759,4,1393.202392
89,61,19815.63,11.59313893,0,393.6524652
90,75,58482.9,8.294186076,0,409.7486664
91,63,41656.53,15.19664016,1,2138.107161
92,68,115510.46,5.083995994,1,443.984031
93,32,15841.19,6.942719201,1,2481.385603
94,76,81127.41,9.834012571,1,2233.567181
95,29,24270.88,11.0596826,0,1158.91369
96,83,54466.33,8.834079073,0,529.40733
97,23,64816.84,5.271228601,1,1956.7337
98,80,103311.26,9.394961367,1,2056.386979
99,20,40211.04,14.4754365,1,1067.373076
100,69,58077.38,10.68311773,1,1806.135733
101,32,43466.35,13.79409442,1,1397.701335
102,53,23289.77,12.40165307,1,808.4305471
103,25,49158.49,10.24782033,1,1886.531937
104,69,3805.84,14.86100819,0,2294.781131
105,71,52616.27,6.716953195,2,826.3438621
106,53,30550.42,8.124258176,1,2072.564168
107,56,12154.01,14.60903837,0,1436.793746
108,42,30649.31,12.65015936,2,1963.332683
109,33,31417.33,12.0281501,0,1324.164906
110,47,55861.19,15.68043093,1,704.9375603
111,48,9044.26,11.30421466,3,888.6517305
112,63,25381.66,10.26646787,1,377.0810282
113,40,65064.31,7.56618217,0,1606.489936
114,67,12527.51,10.40677369,2,1431.409396
115,56,35499.06,7.146124361,3,2253.85247
116,24,26282.4,9.807530479,1,1353.29384
117,79,51237.28,10.61217014,3,1701.457566
118,61,64222.21,5.785085772,1,1290.737183
119,38,11014.98,9.062879297,2,1403.270091
120,28,21172.49,16.54443477,1,2603.903672
121,44,26130.78,4.539566699,2,1256.287854
122,65,36478.21,7.251198724,2,980.9935923
123,35,54533.63,8.943293567,2,1347.869205
124,31,37103.18,12.57884215,3,1127.267848
125,34,74679.84,11.64836306,0,1269.836202
126,68,95028.57,6.076260652,0,1038.745378
127,62,34281.1,11.75681641,0,1531.155367
128,52,36240.81,9.173739977,0,991.2441024
129,32,9515.64,8.353693631,4,1244.296865
130,47,125814.88,10.74539526,0,1162.332926
131,66,12995.68,11.36323648,1,577.1157824
132,70,77531.43,2.310584634,1,1442.974877
133,41,87354.99,5.290318715,0,1577.208717
134,59,76567.85,5.258274954,1,886.9398744
135,46,30663.52,7.157580014,0,1065.06443
136,70,122957.19,2.120350511,0,951.886985
137,89,31600.92,4.978546291,2,1404.435534
138,75,74638.78,6.547676875,3,1925.911722
139,26,32652.3,7.410590719,0,1805.011298
140,25,63650.54,11.39765385,1,700.7343179
141,84,28622.6,11.29945603,1,513.237305
142,69,50252.79,11.30748265,0,717.3876564
143,31,19800.81,10.31551212,2,1313.492851
144,76,35954.77,13.71555406,1,819.4195269
145,75,36342.31,15.40917963,2,882.1160656
146,74,48715.53,11.9664542,1,724.7803356
147,49,23204.98,10.18046877,2,1829.270014
148,47,35302.52,14.01485542,1,1668.199119
149,20,54895.16,14.62784306,2,1124.353152
150,26,60398.06,10.90517581,2,1316.239744
151,72,8115.88,8.894475174,0,1637.201426
152,41,33858.66,10.50187888,0,951.8524406
153,26,29950.47,12.34250072,2,1248.097652
154,55,49421.69,10.29380879,3,2220.255405
155,46,11061.05,8.512650562,2,1669.202417
156,87,15388.32,7.82671592,1,990.0555076
157,39,20624.31,6.985590245,2,967.9819136
158,81,47877.81,11.40449185,0,2190.259876
159,83,46154.17,10.44249511,1,1445.752781
160,50,107111.8,15.38627887,2,528.6553088
161,87,10403.59,10.68024546,2,1296.481055
162,76,22412.6,10.62439366,0,1195.393037
163,25,19476.27,10.91642397,1,1700.121992
164,34,96382.76,8.580626195,0,2120.673828
165,46,28022.56,8.996933306,0,1238.421347
166,73,35478.4,7.602570192,2,847.110799
167,57,10155.51,9.217689334,1,1112.937102
168,58,87537.25,9.591529444,0,1623.045026
169,70,34112.1,13.36027908,0,1479.730181
170,53,32653.51,4.372034777,1,2144.735024
171,31,35321.46,10.59285179,0,1522.289512
172,38,49277.48,12.81260566,1,1974.780054
173,26,37297.82,3.767298987,0,1261.177198
174,44,14928.96,17.56798903,2,939.7181324
175,66,24702.68,11.2369761,3,1357.062854
176,58,87535.71,8.54892416,0,1456.887443
177,51,63166.87,6.094109902,2,937.5863866
178,34,11856.81,13.9077275,1,830.1193011
179,87,27326.79,7.905333122,1,737.8564608
180,67,12779.23,12.53830949,2,1781.854862
181,59,25519.91,12.8219418,1,2464.577489
182,23,46871.21,8.941553742,0,2392.203409
183,42,77383.72,10.51043963,0,1664.19271
184,24,47395.3,11.86384439,3,1433.616898
185,81,90977.74,10.76051016,3,823.4933243
186,78,135727.71,11.05420024,0,1468.357421
187,51,47726.25,8.174495258,5,590.7765801
188,70,51721.64,10.05388383,2,418.6206885
189,87,41531.03,7.045552801,2,1181.991846
190,46,33504.8,8.957297136,1,733.4036934
191,56,34197.3,15.74015572,2,1719.173387
192,44,11518.58,13.41209586,3,1205.956363
193,33,31065.17,14.89835355,2,1261.032763
194,19,32097.17,13.62135046,1,741.7766988
195,31,23424.88,14.95912113,2,932.6084359
196,34,35988.24,11.741245,0,1708.614019
197,43,35539.7,7.765121655,0,1363.58603
198,82,27959.34,7.130431693,1,472.1057019
199,36,52232.97,8.359515606,1,558.2340556
200,48,18198.59,9.42799205,3,815.194738
201,52,16851.94,10.95510131,0,2007.303617
202,35,16440.05,10.8621377,1,2088.48083
203,83,44223.58,7.352533505,2,1430.761492
204,20,33343.73,11.38860234,1,822.3008694
205,25,30664.56,9.580144161,4,2059.200998
206,88,31934.04,10.79191234,1,617.542543
207,54,26676.4,9.982341124,0,758.4775985
208,46,67211.95,6.511921085,0,894.6733856
209,75,31136.77,10.70500472,1,1639.898269
210,66,40660.84,11.58410296,0,710.7541633
211,51,10606.59,8.01651453,1,1092.226042
212,81,92447.71,15.12148226,0,757.0097075
213,75,13612.16,12.63643487,0,2301.850721
214,54,13765.39,16.68178185,2,2401.406545
215,73,53019.98,11.08409914,2,1535.788894
216,53,42523.02,12.99948061,1,1536.589816
217,33,52143.7,11.17949466,1,2153.778421
218,41,19097.94,7.369412654,0,2409.195918
219,59,11301.4,9.84688181,0,1342.862457
220,23,17814.0,18.19542503,0,1046.054674
221,32,22533.05,13.53989069,1,1204.479468
222,51,19974.4,5.458806701,2,1616.908193
223,46,45146.99,12.0772854,1,345.0099528
224,37,10330.1,6.918984305,1,1427.088655
225,53,15281.28,14.84155042,3,1452.334634
226,62,11217.96,12.66717474,2,795.4957358
227,57,17516.0,11.43786808,0,1333.894229
228,80,20566.64,6.915228797,1,1402.20491
229,43,36128.68,11.30215199,1,1447.196935
230,35,52129.84,9.513085538,1,1662.510936
231,63,25985.06,9.497106973,1,1707.641161
232,63,10909.79,12.21852573,2,2181.752793
233,27,41151.14,8.272244827,3,1575.683555
234,19,64063.23,10.24857935,3,1029.489242
235,40,20414.07,6.743431946,1,2370.184448
236,42,41412.1,12.4703522,1,3309.919373
237,40,99195.08,7.913676085,1,1623.273925
238,72,18408.94,9.362849722,2,1146.199921
239,61,15930.45,17.41324465,0,2229.268031
240,71,25611.29,13.43700846,0,2512.36494
241,68,9428.86,11.95206054,0,1297.388488
242,88,3810.16,4.550449856,2,283.39178
243,64,118022.06,6.09060584,2,1947.7853
244,63,51992.79,10.2863601,1,849.1972541
245,53,79993.43,11.17709222,0,2131.359827
246,41,37706.85,14.12145884,0,1464.035068
247,63,22466.53,7.799780591,1,1381.538548
248,56,16608.27,7.122072827,0,1248.626874
249,27,25146.14,9.329902365,0,558.3751762
250,47,58882.35,7.509389052,0,676.2178659
251,42,31809.46,15.06990851,2,1641.938696
252,72,27235.54,9.321265424,0,1811.964373
253,58,70476.82,3.564651961,2,1066.632555
254,33,49396.09,7.779622319,3,1514.131966
255,87,35060.94,10.74985413,0,1189.549671
256,34,66055.53,7.738373361,2,1114.020282
257,76,91335.76,12.01267388,1,1078.291303
258,38,54349.75,14.04748759,0,854.2977548
259,47,75042.1,3.11231175,1,1489.077486
260,84,91001.1,8.284591121,1,1649.312808
261,19,44426.28,6.269792565,0,905.1959227
262,87,63284.16,9.803905459,1,684.6318529
263,75,14039.21,8.571019738,1,1662.533055
264,37,12453.24,10.00344746,0,2436.57146
265,52,15934.12,4.255224068,0,2677.74041
266,24,48314.4,11.2714618,1,1779.309609
267,83,5511.77,8.477982632,0,1494.716409
268,19,10701.11,9.753145376,0,1740.72604
269,78,10767.15,14.57387887,0,704.7552669
270,61,13493.63,13.13441554,1,558.4710883
271,38,25071.58,11.62771397,0,1282.279049
272,79,368.5,6.114030983,0,287.8189836
273,49,27976.63,12.76603868,2,1129.529441
274,41,56154.5,6.348897952,3,394.0148722
275,75,62145.59,16.10939031,2,1302.230824
276,60,6517.94,7.151598137,0,970.4682919
277,70,19090.03,4.575363954,0,2522.88913
278,23,13194.33,13.42263904,0,682.9871863
279,84,63963.36,3.559550725,1,1537.109931
280,63,34447.89,5.971214226,3,1961.923965
281,88,36315.29,7.287197615,3,676.1747964
282,44,5009.07,11.30031859,3,929.2607767
283,49,14202.72,10.26519974,0,1849.484087
284,32,54779.76,16.28075484,0,1998.680227
285,69,36453.31,10.96553586,1,1898.877878
286,60,11250.71,10.93514898,1,992.3501481
287,57,65951.35,2.98020454,0,994.6354785
288,62,15292.25,17.05256354,0,954.0290712
289,26,41879.1,12.29165611,0,1775.838153
290,85,17080.57,10.32744663,0,1297.050577
291,82,68122.23,9.22949351,0,1746.405243
292,40,39468.79,10.02758972,1,1698.465833
293,50,123763.12,7.259022839,1,665.4740915
294,71,84301.44,10.97274944,0,1886.153328
295,48,42469.81,11.87042081,1,958.6989908
296,24,75458.79,9.531063533,1,1446.203986
297,79,60345.9,8.798065013,1,774.6125757
298,82,76066.77,15.27146446,2,1939.811149
299,68,42755.27,7.014445177,0,1165.564309
300,77,76874.25,10.62019312,0,750.8768234
301,19,41075.64,10.04585562,1,1292.3206
302,80,63095.62,10.88047174,1,2335.130986
303,31,82131.87,9.975481565,1,769.8534863
304,62,28502.33,7.248946018,1,1729.837284
305,80,9450.84,9.53003591,1,649.3891796
306,36,44977.06,6.592317798,3,823.0046464
307,72,13583.35,8.124261532,3,1107.882056
308,50,42093.64,11.44655577,1,683.8622599
309,31,55398.87,10.1755818,2,1301.49424
310,22,22362.59,13.7362126,0,1079.012505
311,50,40271.47,13.93422217,1,1283.463995
312,28,56178.63,3.405050602,2,987.653655
313,63,21053.35,10.69284712,2,1088.263081
314,73,75866.75,10.11985468,0,583.0259559
315,72,74061.48,5.863179258,0,1778.733282
316,23,35102.93,13.357551,0,900.4043765
317,49,26391.1,14.04061351,1,1693.576099
318,82,29982.49,4.586902043,0,1143.826239
319,72,51154.34,11.03563726,1,886.340074
320,45,37583.97,11.32768159,1,373.2772664
321,73,28654.87,5.307097721,1,1245.328696
322,78,119968.61,8.993783986,3,1564.936841
323,71,11591.09,11.05733159,1,1354.401018
324,67,70174.11,8.702618087,0,1971.429689
325,43,8495.04,7.045651851,1,623.7865683
326,27,17191.02,12.61411193,2,3040.553763
327,39,24732.09,9.703658153,1,864.7036995
328,52,27282.21,8.220453321,0,2042.113893
329,19,40902.49,8.816497541,0,1973.661316
330,48,87568.16,11.11756812,0,1755.645123
331,22,69327.78,13.07119875,2,1758.735654
332,69,5194.22,12.10865222,2,557.0118807
333,31,12951.51,9.681031902,1,2205.334092
334,79,11179.42,10.49495185,0,1451.201108
335,65,47288.09,7.535866122,0,609.0598401
336,49,114398.35,8.713443753,2,1221.100604
337,69,105646.73,7.191637555,1,745.0493094
338,74,42386.84,12.2870805,0,1220.452161
339,27,38864.57,10.66015784,1,1771.472597
340,79,25215.22,7.044096971,2,1201.484293
341,41,9302.3,12.14893118,1,764.3017535
342,51,45225.74,12.71107869,2,1022.415622
343,57,29976.15,9.759360165,0,1284.442486
344,66,13155.79,2.816821044,0,289.9240291
345,85,14980.5,9.617602049,4,1718.600163
346,54,24017.57,13.06640293,2,2494.633068
347,79,26204.77,8.669204519,1,2270.749222
348,56,27978.78,13.97477268,3,567.6177123
349,80,46622.3,11.19861363,0,380.0501404
350,37,34419.26,10.18921185,1,1436.408211
351,24,8507.97,9.518819692,3,1852.503069
352,48,64420.19,11.01996949,3,1312.008382
353,68,122263.81,14.91100172,2,863.0820861
354,74,64446.9,11.17971961,2,1854.793303
355,37,20647.83,12.16826675,1,1778.431765
356,54,23956.91,17.39213562,1,764.2419259
357,84,56003.36,12.02476736,1,307.018806
358,68,50150.81,6.6769165,2,1179.782483
359,39,4180.22,11.78679636,1,1040.034575
360,85,70023.28,7.846521648,2,1080.159892
361,86,40728.96,5.670110512,2,775.5613336
362,70,69248.13,13.37036883,1,1061.587971
363,33,65187.42,9.826229752,2,1334.403775
364,58,26005.77,12.07226102,1,2346.143947
365,58,10423.75,15.42491471,1,1491.768656
366,42,28909.96,8.601959705,0,927.1279646
367,89,28219.28,8.787582345,0,686.9354616
368,63,67319.27,6.362190982,1,1460.513443
369,18,71348.1,9.507249087,0,1942.250203
370,82,39231.99,12.06831191,0,1923.549943
371,61,28129.21,5.600227586,1,1239.802036
372,36,69104.9,13.15969677,1,2499.186161
373,87,31282.78,6.18537496,1,302.3848209
374,48,65229.24,9.089998883,1,1865.48625
375,56,15110.46,11.21142669,1,908.7910203
376,57,66922.3,5.868957217,0,790.9469893
377,89,1666.59,2.657311067,2,956.2636975
378,30,50258.38,13.75498892,1,639.3261343
379,54,54373.35,11.07079287,1,1572.045646
380,55,33588.84,10.74788638,0,3099.922244
381,46,23629.05,15.68552752,1,1599.727567
382,18,91186.03,10.08605721,0,2188.672399
383,58,20204.74,16.26782621,0,1586.699491
384,60,37703.83,4.946414499,1,1828.279015
385,62,29117.32,14.19610787,1,1866.966586
386,30,52531.72,15.83394061,1,1718.555203
387,75,25742.72,7.663279641,0,556.2193844
388,23,21072.82,7.43893815,3,1035.183038
389,84,37774.81,11.70582668,1,1580.43019
390,61,20811.42,13.60774223,2,703.6927423
391,75,34474.39,6.02604588,2,1842.258692
392,72,81388.6,8.273678516,0,1167.271182
393,66,78272.96,9.424686492,0,1007.289786
394,81,11655.88,10.05990041,1,1500.69101
395,34,37773.19,12.69711858,1,1404.773397
396,82,40183.01,10.3853182,1,1342.310858
397,73,37149.4,10.48123205,0,1250.94478
398,28,10331.57,13.43076227,1,1710.958869
399,48,37096.85,7.951590644,0,169.3992798
400,53,26004.59,9.100502767,0,1261.554565
401,52,77291.95,11.9086306,0,794.9581116
402,20,24462.25,5.304627269,1,713.364269
403,19,75871.75,12.07096717,2,952.5914921
404,70,28840.47,7.336943024,0,778.6094503
405,48,25299.48,10.16142541,1,627.0001275
406,28,37631.4,9.632814549,3,2938.319116
407,52,23014.69,6.346778536,0,1566.001524
408,77,31300.68,12.1986895,2,1889.642423
409,71,55840.35,6.444558317,0,1420.771651
410,22,9729.44,11.7174619,1,1254.725693
411,88,35891.67,6.286550988,1,1570.345219
412,25,20801.9,9.886595026,0,500.4406927
413,21,112429.2,7.972497589,0,1563.848623
414,39,33217.64,11.10996233,0,787.0962355
415,29,45562.97,9.301929385,2,1119.610001
416,22,15380.9,8.535578793,1,1155.782468
417,44,100232.53,9.083448287,0,1995.346628
418,74,57900.98,9.581508542,2,922.1362066
419,84,60476.86,8.763218085,0,717.6823944
420,65,26875.13,12.72077056,3,2223.835601
421,29,24447.03,5.304635517,0,1143.685617
422,51,14817.22,11.18732698,0,1537.296207
423,40,6170.55,11.6443975,0,1614.544362
424,49,33620.38,9.83612847,0,758.8338668
425,61,86453.08,9.202197695,1,1317.766231
426,61,31466.9,6.187489206,6,1189.578203
427,85,76984.15,9.320914781,1,1467.273158
428,25,43586.8,6.697226378,1,2192.693797
429,48,13148.09,16.41445271,1,1568.47416
430,86,11612.88,4.964218639,2,1376.095043
431,53,71215.87,6.702458265,0,811.5600648
432,88,18113.33,8.623296005,0,243.2617759
433,40,18895.18,4.874661522,0,676.6465414
434,23,48852.54,4.924368526,1,801.4709595
435,63,6574.36,9.173811061,1,1316.145864
436,28,10342.14,9.553427818,1,1270.217581
437,26,23028.48,6.007630739,0,1339.709597
438,22,31843.16,18.39537758,2,1624.799349
439,43,31920.88,14.02031408,2,1400.834009
440,70,54961.9,12.07594948,0,1149.108155
441,48,119964.79,13.40034021,0,1387.016004
442,29,21897.41,13.1215267,0,544.12326
443,61,72129.01,10.4523599,1,1803.917571
444,73,16368.02,10.07963518,0,1518.747945
445,27,59147.78,5.763454353,0,1932.20577
446,56,65900.37,9.086330232,1,1886.312286
447,19,69369.36,10.04912841,3,1738.71901
448,56,23382.74,8.431329813,2,1060.026737
449,83,25886.2,8.961461799,1,250.9270047
450,84,99519.26,12.87091514,1,1916.832871
451,62,93039.69,7.236546463,0,573.9920618
452,67,37852.37,7.048563699,2,272.9823095
453,21,54727.46,13.17156155,1,1233.975771
454,31,47944.46,11.11418795,0,1552.772876
455,25,18402.27,5.236234219,1,1259.735294
456,60,43631.75,10.08565191,0,1287.821218
457,84,31392.97,4.843029288,0,1516.667438
458,36,10466.23,7.565105658,0,589.9932647
459,87,20197.89,7.940679007,1,1021.482609
460,80,99482.26,12.94031641,2,1267.634616
461,34,48005.75,7.794425904,2,1266.503765
462,39,50666.54,4.88644359,0,1877.852717
463,42,6117.38,10.84392109,1,1541.134986
464,36,7953.27,9.879617841,2,744.2470872
465,18,101000.3,11.26553266,0,2023.519366
466,66,10882.02,13.28523257,3,1428.427469
467,20,69156.25,15.62909771,0,1283.253595
468,73,19563.77,11.31172944,0,2256.776479
469,83,27113.0,11.06959212,0,955.0876357
470,67,156740.67,13.45818264,1,499.7170655
471,62,23165.82,11.06361355,2,1562.32774
472,34,13378.22,11.56147327,3,776.4780765
473,28,5337.97,13.49663107,3,1118.646915
474,26,72490.86,7.581534683,0,1781.692875
475,82,12476.24,10.67669456,2,1086.92093
476,59,64584.13,11.74759925,0,1551.398147
477,46,32885.95,9.044025424,0,573.751474
478,44,80862.03,7.949846907,2,1794.116848
479,56,49800.1,11.35513416,3,1103.594576
480,32,6958.83,7.524691972,0,3143.245184
481,50,19133.76,9.993073346,3,1381.802291
482,53,23413.1,11.38306511,3,1091.10126
483,84,11957.82,9.818276662,0,891.9472856
484,33,31250.41,14.32006623,0,538.1168657
485,29,9487.91,10.02701706,1,497.9042695
486,87,13533.47,12.67439697,2,1115.476658
487,34,46533.08,11.95689175,2,522.7315686
488,34,47946.16,16.23914454,1,961.5888385
489,28,14393.72,12.55052929,3,883.9008134
490,68,4102.64,13.71586929,2,565.3167155
491,26,11249.18,8.90345193,0,2062.605873
492,61,18684.74,11.70304454,1,1197.080651
493,79,75276.52,3.602721856,0,1972.725118
494,49,78129.73,5.21028807,0,1427.321538
495,85,97761.18,9.442505655,1,1218.124487
496,25,20789.86,2.760749024,1,1874.789062
497,19,34038.71,13.2491569,0,1806.007164
498,28,16051.94,13.4911859,0,1939.600904
499,86,24266.04,7.779828793,0,2275.888923
500,54,28712.86,10.68579941,1,1372.385193
501,28,18966.81,9.905787776,1,785.6266383
502,25,67530.44,11.62388139,1,1226.343895
503,81,38866.92,12.19296315,1,1047.361909
504,89,44314.39,6.892345443,1,893.5446642
505,62,26929.55,8.482252615,0,1210.047397
506,31,50643.95,9.179212931,1,2329.912456
507,48,4803.58,9.321060469,0,1163.407505
508,22,21278.71,13.24354261,1,736.9303356
509,22,16874.68,14.7376853,0,1134.880009
510,20,20314.7,7.766411994,0,1561.294194
511,58,146494.7,9.256391341,2,1216.325478
512,81,28908.4,8.27152774,0,1192.502878
513,26,159315.5,10.08608649,0,2140.402985
514,89,47370.85,6.964656883,0,867.2394016
515,59,59158.79,7.514067308,2,1581.016214
516,75,39802.79,3.262720061,0,724.6774743
517,35,50195.66,13.69828326,0,1123.971139
518,28,52946.65,8.363844619,1,2633.809472
519,48,7681.82,11.34885042,0,967.7426094
520,29,17876.13,11.81880212,0,2101.344074
521,62,21795.58,8.661233766,3,862.3199149
522,43,5192.16,7.423384386,0,921.1401066
523,66,60897.92,8.827647599,2,752.1641496
524,56,35939.37,12.48417719,1,522.7806578
525,73,24091.33,10.56592379,1,736.161108
526,21,41209.8,11.60110678,0,2148.889242
527,48,26695.46,19.07180624,1,1304.999684
528,82,14185.42,12.13702885,2,292.4731737
529,22,12765.41,8.088906499,1,655.3814577
530,34,11386.53,10.16305189,2,660.0908173
531,56,56131.21,10.14030426,3,1655.780173
532,25,50560.17,7.823058882,0,1090.76661
533,44,24202.12,10.36003643,0,1136.118286
534,59,1668.97,11.24744549,2,673.2665835
535,63,36973.83,8.503805869,4,831.1303039
536,76,17218.09,14.78936522,1,729.541703
537,41,34228.9,14.24429679,1,1163.701618
538,25,31159.95,6.027816542,3,1720.167182
539,40,21654.51,10.4766784,0,626.5880936
540,77,36121.33,8.397331803,1,369.7619068
541,20,76136.04,12.1663565,0,1197.180331
542,53,20957.58,9.133118524,0,1164.240281
543,36,33559.74,13.04068054,3,1651.424177
544,86,30142.44,10.43511467,0,1489.301457
545,59,21663.69,12.35764261,1,775.0343206
546,26,12924.08,12.33031848,1,1808.311421
547,61,67021.35,18.30717385,0,1942.452213
548,27,31006.39,14.35467948,2,2847.700412
549,53,28580.25,9.431168696,2,908.4356314
550,32,23706.94,11.27381764,1,973.4512833
551,60,49693.17,10.93898196,1,1097.703155
552,25,77622.97,6.464103552,1,2936.746847
553,52,86411.28,5.772344439,1,1883.962411
554,32,46353.07,11.17925847,4,1808.501398
555,88,62359.81,10.26897415,0,844.8711719
556,59,19942.74,10.11933502,1,1215.114995
557,54,51203.14,8.776451212,1,382.5347203
558,83,10818.08,9.011401399,0,1043.790368
559,88,33165.9,10.91857997,2,851.1414085
560,68,25819.56,7.298432418,1,1762.075547
561,38,21806.2,13.40423523,0,1350.716866
562,23,28082.45,9.879567236,1,1052.042079
563,55,69662.99,7.329478649,2,1159.678094
564,43,54674.22,9.311560353,3,338.2592054
565,61,16706.02,11.13291822,1,851.811469
566,38,31980.81,12.236238,1,669.0040793
567,28,41955.27,12.03070714,4,910.210446
568,84,57107.43,5.33893117,1,1981.954133
569,22,6769.7,15.39425705,1,1695.851887
570,34,65191.79,7.879092117,0,1305.953642
571,28,35947.74,7.006566848,3,1950.886897
572,83,23022.97,10.9783735,0,1631.872719
573,86,33529.19,9.023888498,2,954.6181316
574,79,73378.99,6.599742586,0,957.753476
575,56,3504.7,8.863330522,0,1057.571757
576,47,20125.41,8.842692082,0,1277.521575
577,84,25807.14,8.832305481,2,327.6622533
578,35,21801.03,12.47810556,0,1193.589255
579,26,15518.51,9.877572075,1,1252.155771
580,41,10299.94,6.048302665,0,261.1185652
581,50,30944.95,11.62322378,0,879.6579171
582,34,80906.28,17.23011599,2,1080.597617
583,22,39281.35,14.68014234,0,1262.007891
584,55,14536.31,13.12045068,2,1713.178075
585,80,43044.31,7.173629507,1,1264.760574
586,85,19373.31,13.25882319,0,1356.299478
587,58,46426.0,9.408080299,2,386.0863102
588,37,24903.99,6.860771245,0,1299.066214
589,71,82554.24,4.12236456,1,278.5411418
590,63,48163.8,13.08013867,1,1014.311651
591,47,25331.3,8.194610203,1,1511.115195
592,80,25898.52,10.98987178,0,1795.270512
593,26,2374.22,11.91761523,2,551.1855922
594,28,88915.15,7.344740595,0,1051.833922
595,38,21168.49,7.325364653,2,567.3663629
596,79,74026.91,8.200222508,1,1614.036609
597,48,21064.75,10.4962468,1,771.6292755
598,80,42659.99,8.461081572,0,1329.158978
599,66,15253.93,8.941096681,2,1929.06738
600,26,29353.41,7.752382962,0,1845.830672
601,56,35089.38,9.647132151,0,909.6827162
602,69,75443.13,10.91251295,1,1084.807286
603,73,55081.63,8.442478548,1,1602.254193
604,55,16581.74,10.21682783,1,1435.057667
605,32,29361.24,16.82309021,3,729.7054333
