"customer_id","age","TechSupport"
"Z852663",66,"No"
"C73741",21,"No"
"W258972",61,"No"
"G491883",75,"No"
"C302549",63,"No"
"K581313",68,"Yes"
"T46150",32,"No"
"B260505",76,"Yes"
"W877056",29,"No"
"M478246",83,"No"
"N417817",23,"Yes"
"R180138",80,"Yes"
"N931384",20,"No"
"O967373",69,"Yes"
"G695985",32,"No"
"P33478",53,"No"
"K100436",25,"No"
"L475907",69,"No"
"A78095",71,"No"
"X742990",53,"No"
"P347346",56,"Yes"
"O235183",42,"Yes"
"R776311",33,"Yes"
"C25146",47,"No"
"E722502",48,"No"
"D515341",63,"Yes"
"U972291",40,"No"
"N374641",67,"Yes"
"R736057",56,"No"
"K401117",24,"No"
"O17401",79,"No"
"E779833",61,"No"
"Q527077",38,"Yes"
"Q765651",28,"No"
"W400552",44,"No"
"S979985",65,"Yes"
"E351590",35,"No"
"J227824",31,"No"
"S136858",34,"No"
"N883325",68,"No"
"U700981",62,"Yes"
"X267853",52,"Yes"
"S985225",32,"No"
"X645702",47,"No"
"I703479",66,"Yes"
"S370452",70,"Yes"
"D333249",41,"No"
"O698848",59,"No"
"M248356",46,"No"
"E759213",70,"No"
"G106476",89,"Yes"
"D873414",75,"No"
"X906302",26,"Yes"
"Z245249",25,"Yes"
"T30358",84,"No"
"K974027",69,"No"
"R464272",31,"No"
"Q541158",76,"No"
"O707075",75,"Yes"
"L229402",74,"Yes"
"Y259927",49,"Yes"
"G820541",47,"No"
"F672614",20,"Yes"
"L686627",26,"Yes"
"T660448",72,"Yes"
"G864898",41,"No"
"V847401",26,"No"
"X852253",55,"No"
"M482085",46,"Yes"
"L535753",87,"Yes"
"K265986",39,"Yes"
"C695447",81,"No"
"T484755",83,"Yes"
"X999392",50,"No"
"N995093",87,"No"
"D478815",76,"No"
"I338069",25,"Yes"
"T278739",34,"Yes"
"R857699",46,"Yes"
"Q386914",73,"Yes"
"T132275",57,"No"
"T392167",58,"Yes"
"J315269",70,"No"
"B124449",53,"No"
"P954849",31,"No"
"K20948",38,"No"
"M893176",26,"Yes"
"P765785",44,"No"
"X780945",66,"Yes"
"H776847",58,"No"
"A471876",51,"No"
"B424659",34,"Yes"
"F111037",87,"No"
"S690107",67,"No"
"Q991854",59,"No"
"U560834",23,"Yes"
"P452772",42,"No"
"B949126",24,"Yes"
"F697244",81,"No"
"F501848",78,"No"
"Q971369",51,"No"
"W186069",70,"No"
"Y292243",87,"No"
"F333860",46,"No"
"Z534243",56,"No"
"O249806",44,"No"
"V143753",33,"Yes"
"A715491",19,"No"
"D986940",31,"No"
"Z147347",34,"No"
"W830673",43,"No"
"Q470894",82,"No"
"I584048",36,"No"
"J779175",48,"No"
"O82369",52,"Yes"
"U528986",35,"No"
"K33780",83,"No"
"M720169",20,"No"
"Q279060",25,"No"
"V840276",88,"No"
"B248010",54,"No"
"C805115",46,"No"
"D89225",75,"No"
"X904034",66,"No"
"B148329",51,"Yes"
"X914490",81,"No"
"U120690",75,"Yes"
"F116821",54,"No"
"X389713",73,"Yes"
"M379067",53,"Yes"
"A81135",33,"No"
"V280043",41,"No"
"U169694",59,"Yes"
"N162822",23,"No"
"K618387",32,"No"
"D944092",51,"No"
"F908532",46,"No"
"K380097",37,"No"
"R717119",53,"Yes"
"X978383",62,"No"
"L693606",57,"No"
"Q486994",80,"No"
"R463442",43,"Yes"
"O40995",35,"Yes"
"I933613",63,"No"
"O900811",63,"No"
"F269503",27,"No"
"V549313",19,"Yes"
"Y254714",40,"No"
"C125388",42,"No"
"D901316",40,"No"
"H906834",72,"Yes"
"W551882",61,"Yes"
"D402022",71,"No"
"M545162",68,"No"
"C459569",88,"No"
"O226386",64,"No"
"G954415",63,"No"
"E475593",53,"No"
"D160442",41,"Yes"
"J757606",63,"No"
"E791178",56,"No"
"U451201",27,"No"
"Z817431",47,"Yes"
"A295468",42,"Yes"
"S986240",72,"No"
"H472673",58,"Yes"
"H146363",33,"No"
"S596844",87,"No"
"K458306",34,"No"
"N279711",76,"Yes"
"P760514",38,"No"
"H849889",47,"Yes"
"R379090",84,"No"
"L187290",19,"No"
"X525693",87,"Yes"
"T515102",75,"Yes"
"V571104",37,"No"
"V824084",52,"No"
"L189856",24,"Yes"
"D07066",83,"No"
"N584184",19,"No"
"K578402",78,"Yes"
"Y413092",61,"Yes"
"F980573",38,"No"
"I581177",79,"No"
"U469398",49,"No"
"I85282",41,"No"
"Z317359",75,"Yes"
"I981930",60,"No"
"N227355",70,"Yes"
"E805998",23,"Yes"
"J633340",84,"No"
"L762626",63,"No"
"S206250",88,"Yes"
"C917569",44,"No"
"L282757",49,"No"
"D762674",32,"No"
"N914081",69,"Yes"
"K905632",60,"No"
"H247341",57,"Yes"
"N02836",62,"Yes"
"P742927",26,"No"
"V109553",85,"Yes"
"J227266",82,"No"
"F881222",40,"Yes"
"O167724",50,"Yes"
"Y554348",71,"Yes"
"N800767",48,"No"
"B363210",24,"No"
"P903407",79,"No"
"O825386",82,"No"
"Q76170",68,"No"
"J04574",77,"Yes"
"R620556",19,"Yes"
"S136763",80,"Yes"
"J790219",31,"No"
"O403373",62,"Yes"
"S256934",80,"No"
"F693121",36,"No"
"O154545",72,"Yes"
"A745374",50,"Yes"
"W893206",31,"Yes"
"H113074",22,"No"
"J779911",50,"No"
"Y832510",28,"No"
"S528947",63,"Yes"
"V592787",73,"Yes"
"H283133",72,"No"
"W884202",23,"No"
"N447597",49,"Yes"
"C416907",82,"No"
"A51913",72,"No"
"C742414",45,"No"
"M697338",81,"No"
"B773959",73,"Yes"
"H691053",78,"No"
"V971650",71,"No"
"L226598",67,"No"
"K730146",43,"Yes"
"O894158",27,"No"
"H307794",39,"No"
"A318319",52,"No"
"T369132",19,"No"
"T638377",48,"No"
"E369828",22,"No"
"G948882",69,"Yes"
"Y748946",31,"Yes"
"O402306",79,"No"
"D493050",65,"Yes"
"D758871",49,"No"
"F353304",69,"Yes"
"X960330",74,"No"
"O463102",27,"No"
"W202562",79,"No"
"B323829",41,"No"
"M790643",51,"No"
"D555108",57,"Yes"
"W839946",66,"Yes"
"O511762",85,"No"
"B118954",54,"Yes"
"N28336",79,"Yes"
"B871043",56,"Yes"
"S317408",80,"No"
"S255098",37,"No"
"X426072",24,"Yes"
"W452692",48,"Yes"
"F858862",68,"Yes"
"L944489",74,"Yes"
"K681982",37,"No"
"F240900",54,"Yes"
"R164095",84,"Yes"
"O534672",68,"Yes"
"K473134",39,"No"
"W211742",85,"No"
"H500107",86,"Yes"
"E998043",70,"No"
"E965565",33,"No"
"S332430",58,"No"
"L596007",58,"Yes"
"R760429",42,"No"
"N954926",89,"No"
"Z164087",63,"Yes"
"Z714373",18,"Yes"
"E862109",82,"Yes"
"S777773",61,"Yes"
"K974970",36,"No"
"S411723",87,"No"
"C867654",48,"No"
"V529956",56,"Yes"
"L538003",57,"No"
"P120818",89,"Yes"
"H401803",30,"No"
"W309763",54,"No"
"X715086",55,"No"
"L72577",46,"No"
"R753498",18,"No"
"U843827",58,"Yes"
"L152937",60,"Yes"
"D765207",62,"No"
"N700604",30,"No"
"J316639",75,"No"
"Y517622",23,"Yes"
"P454810",84,"Yes"
"H757186",61,"No"
"A653303",75,"No"
"J307751",72,"No"
"N206516",66,"Yes"
"W592004",81,"Yes"
"Q445599",34,"Yes"
"P651840",82,"No"
"F902621",73,"No"
"K455778",28,"Yes"
"H686155",48,"No"
"G769178",53,"Yes"
"V150452",52,"Yes"
"P688672",20,"No"
"I31591",19,"Yes"
"W339489",70,"Yes"
"Y795644",48,"No"
"Z42949",28,"Yes"
"K702957",52,"No"
"U27325",77,"No"
"N804575",71,"No"
"P54060",22,"Yes"
"L363925",88,"Yes"
"S253484",25,"No"
"A859738",21,"No"
"R548809",39,"Yes"
"U138913",29,"Yes"
"M244790",22,"Yes"
"W610913",44,"No"
"H932939",74,"Yes"
"X00931",84,"No"
"P218828",65,"No"
"P365450",29,"No"
"R912808",51,"No"
"J883265",40,"No"
"L161656",49,"No"
"O412044",61,"No"
"X299129",61,"No"
"O987713",85,"No"
"I415253",25,"No"
"L983845",48,"Yes"
"G661518",86,"No"
"Z511670",53,"No"
"I745729",88,"No"
"K814248",40,"No"
"K719786",23,"No"
"Y874048",63,"No"
"A940721",28,"No"
"V402063",26,"No"
"D770283",22,"No"
"Y701439",43,"Yes"
"Z281810",70,"No"
"O403114",48,"No"
"B442948",29,"No"
"H620644",61,"Yes"
"N573961",73,"No"
"I403839",27,"No"
"F812880",56,"No"
"L74134",19,"No"
"B255311",56,"No"
"O764702",83,"Yes"
"D269899",84,"Yes"
"W291881",62,"No"
"L409845",67,"No"
"L647810",21,"No"
"G97647",31,"No"
"F519639",25,"No"
"J291465",60,"No"
"V170205",84,"No"
"Y472280",69,"No"
"Y172017",36,"No"
"E996692",87,"Yes"
"J207539",80,"Yes"
"I797960",34,"Yes"
"Y592744",39,"No"
"D391430",42,"Yes"
"Q783171",36,"Yes"
"K796504",18,"No"
"F157997",66,"No"
"G73581",20,"No"
"C875992",73,"No"
"S473175",83,"No"
"Q585011",67,"No"
"M353309",62,"Yes"
"F900891",34,"No"
"L957640",28,"No"
"M521755",26,"Yes"
"C960228",82,"No"
"J12843",59,"No"
"P960014",46,"No"
"T912154",44,"Yes"
"G696221",56,"No"
"W987755",32,"No"
"R934959",50,"No"
"B264341",53,"No"
"Q20365",84,"No"
"W415051",33,"No"
"Z477994",29,"No"
"D195797",87,"Yes"
"V615478",34,"No"
"U577089",34,"Yes"
"N275150",28,"No"
"A500103",68,"No"
"J308893",26,"Yes"
"P892051",61,"Yes"
"L947038",79,"No"
"F498478",49,"No"
"H75117",85,"No"
"H292733",25,"No"
"L124227",19,"No"
"Z253470",28,"No"
"F161487",86,"No"
"T434750",54,"No"
"P43762",28,"Yes"
"D309783",25,"Yes"
"B310750",81,"No"
"T663920",89,"Yes"
"N523308",62,"No"
"B759427",31,"No"
"Y802622",48,"No"
"T375340",22,"No"
"H782363",22,"No"
"Z515622",20,"No"
"X286988",58,"No"
"E634326",81,"No"
"S785720",26,"Yes"
"A349493",89,"No"
"W795143",59,"No"
"Y768966",75,"No"
"H843808",35,"Yes"
"A853801",28,"No"
"K296336",48,"No"
"R851367",29,"Yes"
"V74560",62,"No"
"F383331",43,"Yes"
"E770575",66,"Yes"
"N217934",56,"Yes"
"E108315",73,"Yes"
"Z274952",21,"No"
"I10685",48,"Yes"
"G417957",82,"Yes"
"G777381",22,"No"
"J434777",34,"Yes"
"R140732",56,"Yes"
"O536253",25,"No"
"N818917",44,"Yes"
"U912904",59,"No"
"Q895849",63,"No"
"K710503",76,"No"
"X415795",41,"No"
"I634125",25,"No"
"K834421",40,"Yes"
"V777004",77,"No"
"G902299",20,"No"
"V218370",53,"No"
"X415208",36,"Yes"
"X788909",86,"Yes"
"T898999",59,"Yes"
"Q982792",26,"No"
"Y373477",61,"No"
"H568978",27,"Yes"
"A795494",53,"No"
"J266332",32,"Yes"
"V745261",60,"No"
"U345949",25,"Yes"
"C841625",52,"Yes"
"D303600",32,"Yes"
"F05516",88,"No"
"B91498",59,"No"
"X757783",54,"No"
"P464171",83,"No"
"T843460",88,"Yes"
"Z85067",68,"Yes"
"A378200",38,"Yes"
"W314163",23,"No"
"Q738259",55,"No"
"E856035",43,"No"
"D960842",61,"No"
"X618114",38,"No"
"T446100",28,"No"
"S860728",84,"No"
"I273760",22,"No"
"W963695",34,"Yes"
"D878040",28,"No"
"N82795",83,"No"
"G868770",86,"No"
"J444660",79,"No"
"A751773",56,"No"
"R183041",47,"No"
"W76958",84,"No"
"B813081",35,"No"
"L285305",26,"Yes"
"Z592090",41,"No"
"M200082",50,"No"
"A04204",34,"Yes"
"A410868",22,"No"
"F996979",55,"No"
"K907258",80,"Yes"
"E376270",85,"Yes"
"M896880",58,"No"
"T155621",37,"No"
"F744495",71,"Yes"
"Y424748",63,"No"
"C883607",47,"No"
"X987521",80,"No"
"U657488",26,"No"
"L825010",28,"No"
"S193057",32,"No"
"A723167",38,"No"
"S34743",79,"No"
"Z976510",48,"No"
"D880681",80,"No"
"Y998384",66,"No"
"N486975",26,"Yes"
"E79622",56,"No"
"X931864",69,"No"
"D125547",73,"No"
"T522390",55,"No"
"F535092",32,"Yes"
"L623504",71,"Yes"
"G775790",26,"No"
"D331766",71,"No"
"G922869",51,"No"
"P277880",89,"No"
"K377483",58,"No"
"R922241",46,"No"
"I156558",19,"No"
"G95859",18,"No"
"J878701",78,"No"
"C634232",51,"No"
"M376642",65,"No"
"G854983",37,"Yes"
"G31296",38,"No"
"Q139076",84,"No"
"S636055",43,"Yes"
"A912671",34,"No"
"M102949",48,"No"
"L953869",56,"Yes"
"Z471500",53,"No"
"V676238",55,"No"
"Q764408",35,"No"
"P327630",18,"Yes"
"E740766",38,"No"
"Y34832",55,"No"
"Y608563",81,"No"
"U407050",55,"Yes"
"J684160",64,"No"
"B988280",80,"No"
"B545599",36,"Yes"
"F43067",42,"Yes"
"Q900168",44,"No"
"D346820",24,"No"
"Q908346",39,"No"
"P08547",68,"No"
"G851746",83,"No"
"B539992",56,"No"
"M993150",47,"No"
"X564691",59,"Yes"
"T13420",28,"No"
"P591493",81,"Yes"
"K133105",69,"No"
"X403079",77,"No"
"V958859",26,"Yes"
"X466847",47,"Yes"
"X52491",50,"No"
"J474988",46,"Yes"
"F888948",40,"No"
"A756392",52,"No"
"S721167",68,"No"
"F83510",82,"No"
"O594216",83,"Yes"
"I747598",21,"No"
"K294952",43,"No"
"E930365",65,"No"
"H515536",82,"No"
"V733953",48,"No"
"G231952",79,"No"
"U241553",33,"Yes"
"J874798",37,"No"
"O261091",35,"No"
"U89471",59,"No"
"H839237",44,"No"
"S509582",74,"No"
"P968345",31,"No"
"W659895",60,"No"
"W365151",18,"No"
"E135599",84,"No"
"L633556",68,"Yes"
"S465851",86,"No"
"Q668333",73,"Yes"
"L314037",46,"No"
"H53122",19,"No"
"C313073",27,"No"
"R974562",76,"No"
"P942401",56,"No"
"H715023",42,"No"
"T164384",76,"No"
"E80213",42,"Yes"
"P420577",32,"No"
"R176145",27,"No"
"S914593",74,"Yes"
"G755151",64,"No"
"E955361",30,"No"
"I58563",23,"No"
"C167419",44,"Yes"
"V911639",77,"No"
"J470682",78,"Yes"
"F963846",20,"No"
"B733858",53,"Yes"
"L671609",20,"Yes"
"G122279",82,"No"
"U479043",43,"No"
"T73830",38,"No"
"U369496",81,"Yes"
"H151913",34,"Yes"
"B565569",36,"No"
"E813446",38,"Yes"
"E229514",33,"No"
"V585340",66,"No"
"V540566",78,"Yes"
"V275789",80,"No"
"N885732",38,"No"
"L682277",80,"No"
"D835743",48,"No"
"K886740",20,"No"
"O886488",18,"No"
"C48049",49,"Yes"
"T00947",80,"No"
"N773734",24,"No"
"M771027",87,"No"
"Z293106",73,"No"
"Q701785",76,"Yes"
"I472641",80,"Yes"
"A712256",89,"No"
"T872338",43,"No"
"O760284",50,"No"
"Q288900",64,"Yes"
"H969956",49,"No"
"T302014",32,"No"
"W453618",31,"No"
"K591268",44,"Yes"
"J964772",52,"No"
"D578534",66,"No"
"S527871",54,"No"
"Q989344",36,"No"
"E410356",61,"Yes"
"Y618105",27,"No"
"V469262",89,"No"
"E219689",47,"No"
"P463800",81,"Yes"
"R582802",79,"Yes"
"Y531744",35,"No"
"B840629",88,"No"
"Z719846",55,"No"
"S35451",34,"Yes"
"H298416",35,"No"
"F960418",43,"No"
"B209742",70,"No"
"Q273317",50,"No"
"R346421",43,"No"
"Z473183",69,"No"
"Q393526",25,"No"
"I196323",88,"No"
"K729834",69,"No"
"P341049",43,"No"
"Y164259",79,"Yes"
"I841051",86,"No"
"B919135",84,"No"
"S54573",78,"No"
"B989601",84,"No"
"L619270",76,"Yes"
"F707493",74,"Yes"
"R136473",76,"Yes"
"Z379988",55,"Yes"
"A733457",57,"No"
"A357886",63,"Yes"
"T558224",89,"No"
"X675253",46,"Yes"
"H755540",22,"No"
"D479344",81,"No"
"J112293",58,"Yes"
"R996865",48,"Yes"
"P706486",78,"Yes"
"J792155",72,"Yes"
"U158712",76,"No"
"L452982",41,"No"
"R619213",29,"No"
"Y983317",88,"Yes"
"A96078",89,"No"
"H948218",30,"Yes"
"B87304",19,"No"
"Q472250",19,"No"
"W390315",87,"Yes"
"T846662",76,"Yes"
"U588522",69,"Yes"
"Z392431",21,"No"
"L984058",26,"Yes"
"J641339",72,"No"
"X879031",66,"No"
"O507534",45,"No"
"I56280",50,"No"
"B164687",65,"No"
"S769641",70,"No"
"N574445",47,"Yes"
"O438463",39,"Yes"
"L743816",84,"No"
"X422065",83,"No"
"D698441",31,"No"
"T462322",62,"No"
"V397454",85,"Yes"
"R394240",40,"No"
"I959338",67,"Yes"
"E719559",33,"Yes"
"J528795",77,"Yes"
"D728807",20,"Yes"
"R30010",75,"No"
"T719053",24,"No"
"E807714",73,"No"
"T581683",63,"Yes"
"F504510",67,"No"
"V354248",44,"No"
"N950747",52,"No"
"W67300",61,"Yes"
"D457155",41,"Yes"
"Z757676",49,"No"
"E330288",45,"No"
"O186531",39,"No"
"U225462",52,"No"
"X944341",42,"Yes"
"C518382",29,"Yes"
"H630459",52,"Yes"
"A744958",80,"Yes"
"N451468",83,"Yes"
"W483045",73,"No"
"Y184122",34,"No"
"R736548",82,"Yes"
"H654233",23,"No"
"P106092",64,"Yes"
"M67658",47,"No"
"N147187",37,"No"
"S297647",84,"No"
"P493147",45,"No"
"U782508",20,"No"
"E682726",56,"Yes"
"X688103",80,"No"
"R556050",76,"No"
"O03884",79,"Yes"
"O464940",18,"Yes"
"Q242803",19,"No"
"M628541",47,"No"
"S207969",56,"No"
"C810403",19,"Yes"
"Y120307",24,"No"
"V866500",57,"No"
"X343919",65,"Yes"
"K641869",43,"No"
"U113610",70,"No"
"G92465",60,"Yes"
"E661180",62,"Yes"
"T202681",22,"No"
"S78003",65,"Yes"
"S431288",86,"No"
"Z461920",44,"No"
"R03630",27,"No"
"P789306",22,"No"
"Q407375",83,"No"
"M589403",23,"Yes"
"B200191",81,"Yes"
"X481143",79,"No"
"H991225",18,"Yes"
"T540942",43,"Yes"
"O763178",18,"No"
"W565969",83,"No"
"C657224",55,"No"
"W518389",61,"No"
"S256921",54,"Yes"
"D285013",51,"Yes"
"H305043",81,"No"
"C17948",23,"No"
"R692612",61,"Yes"
"I353809",48,"Yes"
"W399323",58,"No"
"W218282",27,"No"
"U587093",63,"No"
"R447088",78,"No"
"Y814048",34,"No"
"G939272",66,"Yes"
"W170124",32,"Yes"
"Y05539",55,"No"
"C708546",32,"No"
"V447329",69,"No"
"O181132",51,"Yes"
"H187434",39,"Yes"
"Y546738",30,"No"
"O847856",38,"No"
"D672232",87,"Yes"
"X486785",73,"Yes"
"B609623",45,"Yes"
"A498648",21,"Yes"
"L766709",29,"No"
"S461725",31,"No"
"A879207",37,"No"
"H750197",57,"Yes"
"Q994964",26,"Yes"
"L180827",36,"No"
"X224369",83,"No"
"M552851",60,"Yes"
"L296464",74,"Yes"
"W571315",35,"No"
"H523291",59,"No"
"R261202",55,"Yes"
"E313335",66,"Yes"
"P911138",49,"No"
"N843105",22,"No"
"R912684",32,"Yes"
"A980855",72,"No"
"G706993",34,"Yes"
"R860464",77,"No"
"C774228",27,"No"
"P451776",48,"No"
"X400925",67,"No"
"T79206",59,"No"
"I709386",42,"Yes"
"V562502",75,"Yes"
"L390014",48,"No"
"Q202776",87,"Yes"
"V825508",43,"No"
"U747129",20,"No"
"M830301",48,"Yes"
"E793032",21,"No"
"T281937",34,"No"
"Y595352",30,"No"
"F876671",50,"Yes"
"R197427",35,"Yes"
"Z38983",76,"No"
"J611355",38,"No"
"H455492",75,"No"
"A768649",37,"No"
"M82512",67,"Yes"
"T108863",84,"No"
"V611969",81,"No"
"O344933",26,"Yes"
"O479736",20,"No"
"G632313",20,"No"
"X685005",18,"Yes"
"I237134",37,"Yes"
"X496118",41,"Yes"
"W106729",36,"Yes"
"K940748",64,"Yes"
"O270789",56,"Yes"
"I636533",34,"No"
"A945949",52,"Yes"
"E161106",44,"No"
"M957583",62,"No"
"L177821",32,"No"
"X365608",34,"No"
"Y653949",26,"No"
"X132040",46,"No"
"R676234",57,"No"
"O632318",54,"No"
"O744533",60,"Yes"
"R607131",43,"Yes"
"Z842303",20,"No"
"L912943",89,"No"
"N715806",77,"No"
"A385989",25,"Yes"
"W550892",89,"No"
"W309935",39,"No"
"Y714473",58,"Yes"
"N762754",57,"Yes"
"U517091",88,"No"
"P181267",27,"No"
"I916859",52,"No"
"C299043",85,"Yes"
"Y184043",21,"Yes"
"N304752",23,"No"
"E996160",72,"No"
"Z888785",37,"Yes"
"Q345021",31,"Yes"
"J473225",29,"Yes"
"L380389",80,"Yes"
"R00362",23,"No"
"D760092",70,"No"
"N233282",41,"No"
"N871301",44,"No"
"B692438",33,"Yes"
"G470445",19,"No"
"P726191",34,"Yes"
"D904626",72,"No"
"P841552",43,"No"
"D419396",23,"No"
"U848705",20,"Yes"
"G140743",56,"No"
"N302415",69,"No"
"X688456",60,"Yes"
"H941836",88,"No"
"F130726",23,"No"
"P324088",82,"No"
"O851847",82,"No"
"W369474",69,"No"
"A609766",31,"Yes"
"I668927",24,"No"
"N761562",41,"No"
"K133355",63,"Yes"
"Q766801",38,"Yes"
"A977827",58,"No"
"M336127",37,"No"
"D926198",56,"No"
"G390885",34,"Yes"
"B51907",74,"Yes"
"V644029",38,"No"
"R729456",19,"No"
"L603563",81,"No"
"H677214",65,"Yes"
"P824126",48,"Yes"
"D59575",67,"Yes"
"T359597",44,"No"
"R756541",33,"Yes"
"Z694986",70,"No"
"V398404",86,"No"
"M414548",79,"No"
"V754108",78,"No"
"M50230",70,"No"
"Z99512",63,"Yes"
"H245198",50,"Yes"
"I277938",80,"No"
"V583631",53,"No"
"Y163128",46,"No"
"A312093",40,"No"
"P877356",64,"Yes"
"X556472",40,"Yes"
"C139501",72,"No"
"Y440539",65,"No"
"Z215431",49,"Yes"
"Y211180",20,"No"
"I961815",84,"Yes"
"M302337",70,"No"
"N727282",86,"No"
"H279354",75,"No"
"V354023",41,"Yes"
"N326688",59,"Yes"
"D816425",89,"Yes"
"J775742",36,"Yes"
"W667533",71,"No"
"C717657",20,"Yes"
"G715462",62,"Yes"
"K309886",27,"No"
"E777441",38,"Yes"
"K797257",55,"Yes"
"K105167",51,"Yes"
"W968177",52,"No"
"Y247582",89,"No"
"B586243",84,"No"
"L93551",36,"No"
"J582916",32,"No"
"M592587",57,"Yes"
"X207278",41,"No"
"O895899",57,"No"
"K529382",84,"Yes"
"S80319",78,"No"
"Z550529",40,"No"
"U286430",38,"Yes"
"W487861",19,"No"
"S274767",28,"Yes"
"H722182",74,"Yes"
"Z135438",19,"No"
"S859045",64,"No"
"A125688",73,"Yes"
"O444447",22,"Yes"
"M183563",30,"Yes"
"V891124",85,"Yes"
"E249577",82,"No"
"U784168",18,"No"
"Z655607",83,"No"
"I119237",69,"Yes"
"A782700",30,"No"
"V544721",74,"Yes"
"F195302",27,"Yes"
"U531334",74,"Yes"
"J345644",66,"No"
"E43004",43,"Yes"
"I664660",32,"No"
"G119666",63,"No"
"U518400",62,"Yes"
"Z461269",27,"No"
"P456447",36,"No"
"P973504",42,"Yes"
"E267017",44,"Yes"
"H450608",64,"Yes"
"K364420",73,"No"
"B490537",80,"No"
"E396045",43,"No"
"O391114",69,"No"
"W333236",74,"No"
"S231734",58,"No"
"W593299",21,"Yes"
"P947144",28,"No"
"U721877",26,"Yes"
"J797305",31,"Yes"
"M584587",52,"Yes"
"E110276",75,"No"
"W173695",47,"Yes"
"Y162634",61,"Yes"
"C30368",38,"No"
"J410708",40,"No"
"R846970",51,"No"
"M803578",71,"No"
"B110246",76,"Yes"
"N471149",25,"No"
"O211985",83,"Yes"
"P526389",44,"Yes"
"E555705",50,"No"
"L982121",63,"No"
"P354965",88,"Yes"
"N729642",43,"No"
"L390162",61,"Yes"
"H176781",72,"Yes"
"L10400",33,"No"
"R255244",32,"No"
"W671969",43,"Yes"
"A259316",28,"No"
"W415781",65,"No"
"O952685",27,"Yes"
"J787742",21,"Yes"
"U668109",81,"No"
"Q11232",39,"No"
"D707565",34,"No"
"Y107411",29,"Yes"
"U608200",32,"Yes"
"D33792",41,"No"
"W698821",40,"No"
"X106926",21,"Yes"
"W984859",31,"No"
"E624783",31,"No"
"P05538",47,"No"
"D02602",31,"No"
"E570609",57,"No"
"X108318",78,"No"
"W628853",57,"No"
"Q531386",28,"No"
"O595578",25,"No"
"J37804",23,"No"
"L110083",78,"No"
"A225434",39,"Yes"
"Z731991",80,"Yes"
"C658180",31,"No"
"Y396609",42,"No"
"G740292",70,"No"
"D480469",20,"No"
"K179771",41,"No"
"R818123",53,"No"
"I284196",75,"No"
"M881138",60,"No"
"L698879",27,"Yes"
"B548061",82,"No"
"I440855",56,"Yes"
"E808351",53,"Yes"
"Y549510",81,"Yes"
"M441485",74,"No"
"D412136",52,"No"
"G287039",67,"Yes"
"H980247",75,"No"
"Z367497",49,"Yes"
"Z349603",67,"Yes"
"C81893",54,"Yes"
"Y104736",43,"No"
"I740366",32,"No"
"B328912",62,"Yes"
"L573957",70,"No"
"P547130",25,"Yes"
"Y32332",33,"No"
"L327497",41,"Yes"
"Y97441",51,"Yes"
"G692468",82,"Yes"
"P752014",56,"Yes"
"G588673",71,"No"
"J982941",34,"No"
"M241678",20,"Yes"
"V515770",23,"Yes"
"I792144",89,"No"
"C326402",72,"No"
"P416440",35,"No"
"A83621",89,"Yes"
"V813580",66,"No"
"P937306",57,"Yes"
"C243361",76,"No"
"G932741",81,"No"
"T902912",40,"No"
"T544616",85,"No"
"C61226",34,"No"
